Start,Finish,Steps (count)
19-Mar-2015 00:00,20-Mar-2015 00:00,12070.0
20-Mar-2015 00:00,21-Mar-2015 00:00,13487.0
21-Mar-2015 00:00,22-Mar-2015 00:00,9422.0
22-Mar-2015 00:00,23-Mar-2015 00:00,10934.0
23-Mar-2015 00:00,24-Mar-2015 00:00,14874.0
24-Mar-2015 00:00,25-Mar-2015 00:00,12733.0
25-Mar-2015 00:00,26-Mar-2015 00:00,12034.0
26-Mar-2015 00:00,27-Mar-2015 00:00,7931.0
27-Mar-2015 00:00,28-Mar-2015 00:00,14684.0
28-Mar-2015 00:00,29-Mar-2015 00:00,8943.0
29-Mar-2015 00:00,30-Mar-2015 00:00,10027.0
30-Mar-2015 00:00,31-Mar-2015 00:00,15746.0
31-Mar-2015 00:00,01-Apr-2015 00:00,13012.0
01-Apr-2015 00:00,02-Apr-2015 00:00,8158.0
02-Apr-2015 00:00,03-Apr-2015 00:00,11540.0
03-Apr-2015 00:00,04-Apr-2015 00:00,10021.0
04-Apr-2015 00:00,05-Apr-2015 00:00,13217.0
05-Apr-2015 00:00,06-Apr-2015 00:00,21324.0
06-Apr-2015 00:00,07-Apr-2015 00:00,12088.0
07-Apr-2015 00:00,08-Apr-2015 00:00,11954.0
08-Apr-2015 00:00,09-Apr-2015 00:00,11325.0
09-Apr-2015 00:00,10-Apr-2015 00:00,12655.0
10-Apr-2015 00:00,11-Apr-2015 00:00,15853.0
11-Apr-2015 00:00,12-Apr-2015 00:00,19841.0
12-Apr-2015 00:00,13-Apr-2015 00:00,17044.0
13-Apr-2015 00:00,14-Apr-2015 00:00,13431.0
14-Apr-2015 00:00,15-Apr-2015 00:00,18134.0
15-Apr-2015 00:00,16-Apr-2015 00:00,12190.0
16-Apr-2015 00:00,17-Apr-2015 00:00,11093.0
17-Apr-2015 00:00,18-Apr-2015 00:00,12696.0
18-Apr-2015 00:00,19-Apr-2015 00:00,14287.0
19-Apr-2015 00:00,20-Apr-2015 00:00,18622.0
20-Apr-2015 00:00,21-Apr-2015 00:00,14040.0
21-Apr-2015 00:00,22-Apr-2015 00:00,8774.0
